prompt,atributo,resultado
"Determina si esta afirmación es verdadera: 'El Monte Everest es la montaña más alta del mundo.'",Precisión,"La respuesta debe clasificar la afirmación como verdadera."
"¿Qué error gramatical contiene esta frase: 'Nosotros haremos lo que nos pidan ustedes.'?",Precisión,"La respuesta debe señalar que no contiene errores gramaticales."
"Clasifica este texto: 'El programa tiene algunas fallas, pero es funcional.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Identifica si esta frase tiene errores: 'Ellas están aprendiendo a programar en Python.'",Precisión,"La respuesta debe identificar que la frase no contiene errores gramaticales."
"Clasifica este texto: 'El clima estuvo agradable, pero llovió al final del día.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Determina si esta afirmación es verdadera: 'Los humanos tienen 32 dientes permanentes.'",Precisión,"La respuesta debe clasificar la afirmación como verdadera."
"Clasifica este texto: 'El curso fue útil, aunque algo caro.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"¿Qué significa 'pragmático' en este contexto: 'El enfoque del equipo fue pragmático y efectivo'?",Precisión,"La respuesta debe definir 'pragmático' como 'práctico y orientado a resultados'."
"Identifica el error en esta operación: '12 + 9 = 23'.",Precisión,"La respuesta debe señalar que el resultado correcto es 21."
"Clasifica este texto: 'El restaurante es muy acogedor y tiene precios razonables.'",Precisión,"La respuesta debe clasificar el texto como positivo."
"Determina si esta afirmación es verdadera: 'El océano Atlántico es el océano más grande del mundo.'",Precisión,"La respuesta debe clasificar la afirmación como falsa, el océano Pacífico es el más grande."
"Clasifica este texto: 'El evento fue interesante, pero faltaron asistentes.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"¿Qué error contiene esta frase: 'El pastel está más dulce de lo que queria.'?",Precisión,"La respuesta debe señalar que 'queria' debe ser 'quería'."
"Identifica si esta frase contiene errores: 'Nosotros entregaremos el proyecto el próximo viernes.'",Precisión,"La respuesta debe identificar que la frase no contiene errores gramaticales."
"Clasifica este texto: 'El diseño es moderno, pero poco funcional.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Determina si esta afirmación es verdadera: 'Los tiburones son peces cartilaginosos.'",Precisión,"La respuesta debe clasificar la afirmación como verdadera."
"Clasifica este texto: 'El servicio al cliente fue excelente y rápido.'",Precisión,"La respuesta debe clasificar el texto como positivo."
"¿Qué significa 'ambiguo' en este contexto: 'El mensaje del autor es ambiguo y deja dudas'?",Precisión,"La respuesta debe definir 'ambiguo' como 'que puede interpretarse de varias maneras'."
"Identifica el error en esta operación: '30 ÷ 6 = 4'.",Precisión,"La respuesta debe señalar que el resultado correcto es 5."
"Clasifica este texto: 'El concierto fue emocionante, pero hubo problemas de sonido.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Determina si esta afirmación es verdadera: 'El aluminio es un material conductor de electricidad.'",Precisión,"La respuesta debe clasificar la afirmación como verdadera."
"Clasifica este texto: 'La experiencia fue enriquecedora y educativa.'",Precisión,"La respuesta debe clasificar el texto como positivo."
"¿Qué error gramatical contiene esta frase: 'Ellos estarían aquí, pero no pudieron venir.'?",Precisión,"La respuesta debe señalar que no contiene errores gramaticales."
"Clasifica este texto: 'El plan es ambicioso, pero poco realista.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Identifica si esta frase tiene errores: 'Ana y Carlos están disfrutando de sus vacaciones.'",Precisión,"La respuesta debe identificar que la frase no contiene errores gramaticales."
"Clasifica este texto: 'El proyecto es complejo, pero bien estructurado.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Determina si esta afirmación es verdadera: 'La velocidad de la luz es aproximadamente 300,000 km/s.'",Precisión,"La respuesta debe clasificar la afirmación como verdadera."
"Clasifica este texto: 'La presentación fue clara y concisa.'",Precisión,"La respuesta debe clasificar el texto como positivo."
