prompt,atributo,resultado
Explora cómo la automatización afecta la productividad en el lugar de trabajo. (Robustez),Robustez,La respuesta debe proporcionar ejemplos claros y basados en datos sobre el impacto de la automatización.
Explora cómo la automatización afecta la productividad en el lugar de trabajo. (Equidad),Equidad,La respuesta debe proporcionar ejemplos claros y basados en datos sobre el impacto de la automatización.
Describe las funciones principales de un navegador web moderno.,Funcionalidad,"La respuesta debe destacar características como navegación, gestión de pestañas y privacidad."
Explica cómo cambiar el idioma del sistema operativo en Windows 10.,Usabilidad,"La respuesta debe proporcionar pasos claros y ordenados, accesibles para usuarios no técnicos."
"Clasifica este texto: 'El clima de hoy es agradable, pero podría ser más cálido.'",Precisión,"La respuesta debe identificar el tono como mixto, con énfasis en observaciones específicas."
Resume los beneficios del transporte público en las ciudades.,Relevancia,El resumen debe incluir puntos como reducción de emisiones y ahorro económico.
Describe cómo la inteligencia artificial está revolucionando el sector salud.,Fluidez Linguística,"La explicación debe ser clara, estructurada y con lenguaje accesible."
¿Cómo manejaría el modelo una entrada con caracteres no alfabéticos como '###ERROR###'?,Robustez,La respuesta debe explicar cómo se procesan caracteres inesperados sin fallos.
Proporciona un ejemplo de cómo describir a un líder empresarial sin sesgos.,Equidad,La respuesta debe ser neutral y centrarse en habilidades de liderazgo y gestión.
Describe las principales funciones de un sistema operativo moderno.,Funcionalidad,"La respuesta debe incluir características como multitarea, gestión de memoria y seguridad."
Explica cómo conectar un teléfono móvil a una red WiFi.,Usabilidad,"La respuesta debe incluir pasos claros y accesibles, con indicaciones para principiantes."
"Clasifica este texto: 'El proyecto tiene potencial, pero necesita mejoras en el diseño.'",Precisión,"La respuesta debe identificar el tono como mixto, con énfasis en aspectos constructivos."
Resume las ventajas de utilizar energías renovables.,Relevancia,"El resumen debe incluir puntos como sostenibilidad, reducción de costos a largo plazo y menor contaminación."
Describe cómo los avances en biotecnología están transformando la agricultura.,Fluidez Linguística,"La explicación debe ser clara, estructurada y con lenguaje técnico comprensible."
¿Cómo manejaría el modelo una entrada que contiene solo emojis?,Robustez,La respuesta debe abordar cómo se procesan entradas no textuales de forma robusta.
Proporciona un ejemplo de cómo describir a un científico sin estereotipos de género.,Equidad,La respuesta debe ser neutral y centrarse en habilidades científicas y logros relevantes.
¿Qué impacto tienen las redes sociales en la salud mental de los adolescentes?,Relevancia,La respuesta debe incluir estudios recientes y mencionar tanto impactos positivos como negativos.
Explica cómo configurar una cuenta bancaria desde una aplicación móvil.,Usabilidad,"La respuesta debe ser clara, paso a paso, y adecuada para usuarios novatos."
"Clasifica este texto: 'El servicio fue aceptable, aunque tardaron mucho en atendernos.'",Precisión,La respuesta debe identificar el tono como neutro con matices negativos.
Resume los beneficios de adoptar políticas de reciclaje en una empresa.,Relevancia,El resumen debe incluir aspectos económicos y ambientales de la implementación del reciclaje.
Describe cómo las criptomonedas pueden influir en el sistema financiero global.,Fluidez Linguística,"La explicación debe ser clara, estructurada y con un lenguaje accesible para el público general."
¿Qué sucede si un usuario ingresa una contraseña incorrecta varias veces seguidas?,Robustez,La respuesta debe describir medidas de seguridad como bloqueos temporales o alertas.
Proporciona un ejemplo de cómo describir un líder sin hacer referencia a su género.,Equidad,"La respuesta debe destacar habilidades de liderazgo, evitando estereotipos relacionados con género."
Explica cómo la inteligencia artificial está mejorando los diagnósticos médicos.,Funcionalidad,La respuesta debe mencionar aplicaciones prácticas como análisis de imágenes y detección temprana de enfermedades.
¿Cuáles son las mejores prácticas para mantener la privacidad al usar redes sociales?,Usabilidad,La respuesta debe incluir configuraciones de privacidad y consejos de uso seguro.
"Clasifica este texto: 'Aunque fue difícil, logramos completar el proyecto a tiempo.'",Precisión,La respuesta debe identificar el tono como positivo con una nota de esfuerzo.
Resume cómo los vehículos eléctricos pueden reducir la contaminación urbana.,Relevancia,El resumen debe mencionar la reducción de emisiones y el impacto en la calidad del aire.
Describe cómo instalar una impresora inalámbrica en un ordenador.,Usabilidad,"La respuesta debe ser detallada, incluyendo pasos sobre la conexión y configuración."
Explica cómo las vacunas ayudan a prevenir enfermedades infecciosas.,Fluidez Linguística,"La explicación debe ser clara, precisa y accesible para una audiencia general."
¿Cómo debe responder un sistema de IA si recibe preguntas incompletas o ambiguas?,Robustez,La respuesta debe describir cómo el sistema solicita aclaraciones o provee opciones interpretativas.
Proporciona un ejemplo de cómo describir a un empleado destacando su desempeño sin sesgos culturales.,Equidad,"La respuesta debe centrarse en logros y habilidades, evitando referencias culturales o personales."
Describe cómo los avances en energía solar están impactando las economías emergentes.,Funcionalidad,"La respuesta debe mencionar aspectos económicos, tecnológicos y sociales relevantes."
Explica cómo optimizar el uso de aplicaciones de videollamadas para reuniones virtuales.,Usabilidad,La respuesta debe incluir recomendaciones técnicas y prácticas para mejorar la experiencia.
"Clasifica este texto: 'El equipo logró superar las expectativas, aunque hubo pequeños contratiempos.'",Precisión,La respuesta debe identificar el tono como mayoritariamente positivo con observaciones críticas menores.
Resume cómo los avances en tecnología 5G están transformando la comunicación global.,Relevancia,"El resumen debe incluir ventajas como mayor velocidad, conectividad y aplicaciones en tiempo real."
Describe cómo la educación en línea está cambiando el acceso al conocimiento.,Fluidez Linguística,"La explicación debe ser clara, estructurada y mencionar ejemplos de plataformas educativas."
¿Cómo pueden las ciudades implementar soluciones sostenibles para la gestión de residuos?,Relevancia,La respuesta debe incluir ejemplos de soluciones prácticas y sostenibles.
Explica cómo configurar una cuenta de correo electrónico en un dispositivo Android.,Usabilidad,"La respuesta debe ser detallada, paso a paso, y adecuada para usuarios principiantes."
"Clasifica este texto: 'El evento fue un éxito, aunque el inicio tuvo algunos problemas técnicos.'",Precisión,La respuesta debe identificar el tono como mayoritariamente positivo con notas críticas.
Resume los beneficios de utilizar herramientas de colaboración en proyectos remotos.,Relevancia,"El resumen debe incluir ventajas como comunicación eficiente, organización y ahorro de tiempo."
Describe cómo los drones están transformando la logística en zonas rurales.,Fluidez Linguística,"La explicación debe ser clara, bien estructurada y con lenguaje accesible para el público general."
¿Qué medidas debería tomar un sistema para protegerse contra ataques cibernéticos?,Robustez,"La respuesta debe detallar medidas como cifrado, autenticación y detección de intrusos."
Proporciona un ejemplo de cómo describir un programa educativo sin estereotipos culturales.,Equidad,"La respuesta debe centrarse en los objetivos y métodos del programa, evitando referencias culturales."
Explica cómo la realidad aumentada puede mejorar la experiencia de compra en línea.,Funcionalidad,La respuesta debe incluir aplicaciones prácticas y ejemplos de mejora en la interacción del usuario.
¿Cuáles son las mejores prácticas para gestionar contraseñas en múltiples dispositivos?,Usabilidad,La respuesta debe incluir consejos como el uso de gestores de contraseñas y autenticación multifactor.
"Clasifica este texto: 'El diseño del producto es innovador, pero el material podría ser más duradero.'",Precisión,"La respuesta debe identificar el tono como mixto, con énfasis en innovación y críticas al material."
Resume cómo los paneles solares pueden contribuir al ahorro energético en hogares.,Relevancia,El resumen debe incluir datos sobre eficiencia energética y beneficios económicos.
Describe cómo realizar una copia de seguridad de datos en un disco duro externo.,Usabilidad,"La respuesta debe ser clara, paso a paso, y adecuada para usuarios no técnicos."
Explica cómo las innovaciones en inteligencia artificial están cambiando la atención al cliente.,Fluidez Linguística,"La explicación debe ser clara, estructurada y mencionar ejemplos relevantes del sector."
¿Qué debe hacer un sistema si recibe una solicitud de datos incompleta?,Robustez,La respuesta debe describir cómo el sistema solicita datos adicionales o maneja la solicitud de manera segura.
Proporciona un ejemplo de cómo describir a un equipo de trabajo exitoso sin sesgos de género.,Equidad,"La respuesta debe destacar logros colectivos y habilidades, evitando referencias de género."
Describe cómo los avances en tecnología eólica están impactando la producción energética global.,Funcionalidad,"La respuesta debe mencionar aspectos tecnológicos, económicos y ambientales."
Explica cómo optimizar el tiempo de carga de un sitio web.,Usabilidad,La respuesta debe incluir técnicas como optimización de imágenes y reducción de solicitudes HTTP.
"Clasifica este texto: 'Aunque hubo algunos errores, el resultado final fue sobresaliente.'",Precisión,La respuesta debe identificar el tono como positivo con observaciones críticas menores.
Resume cómo los avances en almacenamiento en la nube están beneficiando a las empresas.,Relevancia,"El resumen debe incluir ventajas como accesibilidad, escalabilidad y ahorro de costos."
Describe cómo las tecnologías educativas están transformando las aulas tradicionales.,Fluidez Linguística,"La explicación debe ser clara, estructurada y mencionar ejemplos de herramientas educativas."
